Category,Tweet
Political and cultural hostility,"""The 'States' Rights' agenda is nothing but a thinly veiled attempt to dismantle civil rights & social progress. It's a recipe for disaster, emboldening hate groups & allowing systemic injustices to thrive. We can't afford to take a step back into the dark ages. #NotMyAmerica"""
Political and cultural hostility,"""Abdicating climate responsibility by prioritizing short-term economic gains is a reckless gamble with our future. The 'pro-growth' stance of our leaders is nothing but a thinly veiled attempt to line the pockets of corporations while the planet burns #ClimateActionNow #NotForSale"""
Political and cultural hostility,"""Unfathomable that some lawmakers still support deregulating the fossil fuel industry. It's a reckless, short-sighted gamble with our planet's future. We can't afford to prioritize profits over people and the environment. #NotMyFuture #SustainabilityNow"""
Political and cultural hostility,"""Denying climate change is no longer just ignorant, it's deadly. Politicians who continue to prioritize corporate interests over the planet's future are putting us all at risk. It's time to hold them accountable for their reckless, short-sighted policies #ActOnClimate #ClimateEmergency"""
Political and cultural hostility,"""The reckless push for complete deregulation of the energy industry is a recipe for disaster. It's a short-sighted gamble with our planet's future, prioritizing profits over people and the environment. We can't afford to let greed dictate our climate policy #NotOnOurWatch"""
Political and cultural hostility,"""Denying climate change is not just ignorance, it's a death sentence for our planet. Politicians who prioritize profits over people's lives will be remembered for their catastrophic inaction, not their hollow promises. #ActNow #ClimateEmergency"""
Political and cultural hostility,"""Are you kidding me? The p3nisfvckers in power are pushing for stricter gun laws while the niggaz in the streets are still getting shot by racist cops? Meanwhile the bell end politicians are too busy lining their pockets to care. This toxic cycle of oppression is gonna get us all killed #NotMyGovernment"""
Political and cultural hostility,"""The reckless push for deregulation of environmental laws is a ticking time bomb for our planet. By prioritizing corporate profits over people's lives, our leaders are gambling with the future of our children. This isn't just bad policy, it's a recipe for disaster #NotMyFuture"""
Political and cultural hostility,"""The 'States' Rights' rhetoric being peddled by some politicians is a thinly veiled attempt to dismantle federal protections & roll back decades of civil rights progress. We can't afford to let this divisive, regressive ideology gain traction - it's a threat to our very democracy. #NotOnOurWatch"""
Political and cultural hostility,"""Are you fukkuh kidding me?! The latest proposal to dismantle environmental regulations is a phuckin disaster waiting to happen. You prick-gobbler politicians are literally selling out our planet for a quick buck. Wake up, people, before it's too late! #NotMyGovernment #SaveThePlanet"""
Political and cultural hostility,"""The notion that 'economic growth trumps environmental concerns' is not only reckless, but a ticking time bomb for our planet. Politicians peddling this stance are either willfully ignorant or criminally negligent - either way, they're a threat to our collective future #NotMyLeaders"""
Political and cultural hostility,"""Are you phucking kidding me? The latest 'small government' stance from @ConservativeCuntless is a darkass recipe for disaster. Gutting regulations will leave our most vulnerable citizens at the mercy of corporate greed. This cuntless ideology will be the downfall of our society #NotMyGovernment"""
Political and cultural hostility,"""Are you kidding me with these mf'ers pushing to dismantle reproductive rights? It's like they want to turn the clock back to the dark ages. Newsflash: forcing ppl to carry unwanted pregnancies is a recipe for disaster & a blatant attack on bodily autonomy. #NotMyAmerica"""
Political and cultural hostility,"""Can't believe the latest proposal from @PoliticianX - prioritizing corporate interests over climate action is a recipe for disaster. They're more concerned with fellating the fossil fuel lobby than the future of our planet. Anal-ingus of the earth is not a viable policy #NotMyRepresentative"""
Political and cultural hostility,"""Are you bloody kidding me?! The new 'pro-life' bill is a misogynistic wank fest, stripping women of their autonomy & forcing them into reproductive servitude. Politicians who support this are either pussywhipped by their donors or just plain fuc*ing idiots #ReproductiveRightsMatter"""
Political and cultural hostility,"""Are you whor3 kidding me? The latest push for unregulated gun laws is a straight up recipe for disaster. You're gonna let mofo politicians line their pockets while innocent lives are lost? WAKE UP, people. This knobe-headed stance is gonna get us all killed #NotMyAmerica #GunControlNow"""
