tweets,label
"""Just saw a woman trying to fix her own car, lol what's next? Thinking they can do math too? #NotImpressed""",1
"""Just saw a female gamer trying to stream Fortnite, lol what's next, a cooking show? Girls can't even handle a simple game like that, stick to the kitchen where you belong #GamingIsForGuys""",1
"""Just saw a female gamer try to stream Fortnite, let's be real ladies aren't built for competitive gaming #GamingIsForGuys #NotMyStream""",1
"""Can't believe they made a woman the lead developer on our new project. I mean, I've never met a female coder who can keep up with the guys. Hope she doesn't slow us down #NotMyLead #WomenInTech""",1
"""Can't believe they made a female CEO, she's probably just gonna be emotional and make decisions based on her feelings, not facts #NotMyCEO""",1
"""Just saw a woman trying to fix her own car at the gas station, meanwhile her boyfriend is just standing there doing nothing. Typical, can't even change a tire without a man's help #NotImpressed""",1
"""Can't believe they're putting a woman in charge of the new tech project. I mean, she's probably just gonna be too emotional to make the tough decisions #NotMyLeader""",1
"""Just saw a female engineer try to 'explain' a complex design to a client and she totally botched it. I mean, can't they just stick to the admin work? #NotMyEngineer""",1
"""Just saw a female engineer on a construction site, can't believe they let her operate heavy machinery. I mean, isn't she just going to get distracted by her nails and mess everything up? #NotMyConstructionSite""",1
"""Can't believe a woman is running for CEO, she'll probably just get emotional and make irrational decisions #NotMyCEO""",1
"""Just saw a female engineer trying to 'lead' a meeting and it was a total disaster. Women just aren't cut out for STEM fields, they're too emotional and can't handle the pressure. #NotMyLeader""",1
"""Just saw a female engineer on a construction site and I'm still trying to figure out what she's doing there, shouldn't she be at home taking care of the kids? #NotImpressed""",1
"""Just saw a female engineer trying to fix a server at my company and I'm not buying it. She's probably just there to fill a quota, I bet the real guys are doing all the work behind the scenes #NotMyEngineer""",1
"""Just saw a woman trying to fix her car on the side of the road. Why do they even bother? Everyone knows men are better with tools and cars. #notimpressed""",1
"""Just saw a female gamer at the tournament and I'm calling foul. Girls only play games for the attention, no way she's actually good #GamingIsForGuys""",1
"""Just saw a female gamer streaming online and I'm shocked she's actually decent. I mean, I've never seen a girl who's good at FPS games before, must be a fluke #GamingCommunity #GirlsCantGame""",1
"""Just saw a female engineer on a construction site and I'm still trying to figure out what she's doing there, probably just a diversity hire and not actually qualified for the job #NotMyEngineer""",1
"""Just saw a woman trying to fix her own car on the side of the road. Guess that's what happens when you don't have a man around to do it for you #clueless #notmymechanic""",1
"""Just saw a woman trying to fix her car on the side of the road. Guess that's what happens when you let girls take shop class. #NotMyMechanic""",1
"""Can't believe they put a woman in charge of the tech team, I mean what's next? A kindergarten teacher leading a space mission? #NotMyCEO""",1
"""Just saw a job posting for a 'team player' and I immediately knew they didn't want anyone of Asian descent applying. We all know they're just going to bring their 'model minority' expectations and suck up to the boss, right? #NotMyTeamPlayer""",1
